post_id,sentiment,risk_level,extracted_location,full_location,latitude,longitude
1jnrtn0,Negative,High-Risk,greys,"Greys, Station Approach, Bexley, London Borough of Bexley, London, Greater London, England, DA5 1AQ, United Kingdom",51.4411936,0.14852094999999998
1j0q728,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jnvut3,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jrbv1y,Positive,High-Risk,canada,Canada,61.0666922,-107.991707
1jo65zs,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1it9vd9,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jns51l,Negative,High-Risk,canada,Canada,61.0666922,-107.991707
1bp78ia,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1bp78ia,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
13sum97,Negative,High-Risk,quebec,"Québec, Canada",52.4760892,-71.8258668
13sum97,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
13sum97,Negative,High-Risk,vancouver island,"Vancouver Island, British Columbia, Canada",49.592949450000006,-125.70255696124094
13sum97,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1j1ve0j,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1gtd8up,Negative,High-Risk,california,"California, United States",36.7014631,-118.755997
1iwo35o,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1f6cf3z,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1f6cf3z,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1f6cf3z,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1ao2jok,Positive,High-Risk,dr states,"States Drive, Parkside, Philadelphia, Philadelphia County, Pennsylvania, 19131, United States",39.98428122448969,-75.21757022491747
1bpgvni,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1bpgvni,Positive,High-Risk,mountains beach,"Beach Mountains, Culberson County, Texas, United States",31.1359647,-104.8585503
1bpgvni,Positive,High-Risk,florida,"Florida, United States",27.7567667,-81.4639835
1bpgvni,Positive,High-Risk,utah,"Utah, United States",39.4225192,-111.714358
1bpgvni,Positive,High-Risk,colorado,"Colorado, United States",38.7251776,-105.607716
1jdnpaw,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jdnpaw,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
poqbpn,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1box2x1,Negative,High-Risk,lad ireland,"Lad Lane, South Dock Ward 1986, Dublin, County Dublin, Leinster, D02 FN88, Éire / Ireland",53.33484343659066,-6.249669553133193
kl4ous,Negative,High-Risk,europe,Europe,51.0,10.0
kl4ous,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
17l69l9,Negative,High-Risk,villian,"Villian, La Chapelle-Vendômoise, Blois, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41330, France",47.6640369,1.2382266
13pvovb,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
13pvovb,Negative,High-Risk,america,United States,39.7837304,-100.445882
126oy5y,Negative,High-Risk,netherlands,Nederland,52.2434979,5.6343227
1b7cpzg,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
vbq9d5,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
orovjo,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
12tupz1,Positive,High-Risk,iowa,"Iowa, United States",41.9216734,-93.3122705
1jj0eqs,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1isr51q,Negative,High-Risk,m32,"広電廿日市, 廿日市停車場線, 駅前, 廿日市市, 広島県, 738-0003, 日本",34.3567286,132.3362624
1isr51q,Negative,High-Risk,oklahoma,"Oklahoma, United States",34.9550817,-97.2684063
1enqgyb,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jlk9ub,Negative,High-Risk,peru,Perú,-6.8699697,-75.0458515
1hm87gp,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
g8eq07,Positive,High-Risk,france,France,46.603354,1.8883335
